User,Device,Trials,Distance Error,Time
1,glove,2.333333333,4.109456667,12
2,glove,1.666666667,6.591493333,9
3,glove,1.666666667,5.75478,7
4,glove,3,12.10693,12
5,glove,2.333333333,2.217526667,8
6,glove,1.333333333,6.986343333,5
7,glove,2,7.38759,9
8,glove,2.666666667,9.454686667,12
9,glove,1,1.532423333,10
10,glove,2.333333333,0.994893333,7
11,glove,1.333333333,2.836053333,15
1,ring,1.333333333,3.13251,5
2,ring,2.333333333,9.617,10
3,ring,2,1.538803333,8
4,ring,1.666666667,8.67564,9
5,ring,2.666666667,0.999563333,10
6,ring,1,3.94581,4
7,ring,1.333333333,7.36571,5
8,ring,1,1.655343333,3
9,ring,1,1.30007,8
10,ring,2,1.138196667,5
11,ring,1,2.477826667,10
1,none,1,10.55265,12
2,none,4,25.11427667,16
3,none,1,4.51238,13
4,none,1,10.52936333,7
5,none,2,20.60287333,14
6,none,1,9.58381,7
7,none,2,20.80713,10
8,none,2,9.023483333,9
9,none,2,18.06566333,14
10,none,1,2.8161,7
11,none,1,17.46471667,7
